"WOCHENTAG;""DATUM"";""VON"";""BIS"";""DAUER_IN_MINUTEN"";""LV_NUMMER"";""TITEL"";""LV_ART"";""LV_GRUPPE"";""ORT"";""LERNEINHEIT"";""UNTERRICHTSEINHEIT"";""EREIGNIS_TYP"";""TERMIN_TYP"";""VORTRAGENDER_KONTAKTPERSON"";""ANMERKUNG"";""INTERNE_BEMERKUNG""",
"FR;""15.05.2026"";""09:30"";""12:00"";""150"";"""";""Team-meeting HCTL"";"""";"""";""269"," Büro (2907.02.269)"";"""";"""";""kein Ereignistyp"";""fix"";""Enkelejda Kasneci"";"""";"""""
"FR;""15.05.2026"";""10:00"";""18:00"";""480"";"""";""aeyecol"";"""";"""";""141"," Seminarraum (2907.01.141)"";"""";"""";""kein Ereignistyp"";""geplant"";""Mingcong Ding"";"""";"""""
"MO;""18.05.2026"";""10:30"";""12:00"";""90"";"""";""EdTech Guest Talk"";"""";"""";""604"," Besprechungsraum (2907.06.604)"";"""";"""";""kein Ereignistyp"";""fix"";""Dr. Na¿a Terzimehi¿"";"""";"""""
"MO;""18.05.2026"";""11:30"";""18:30"";""420"";"""";""aeyecol"";"""";"""";""131"," Seminarraum (2907.01.131)"";"""";"""";""kein Ereignistyp"";""geplant"";""Mingcong Ding"";"""";"""""
"DI;""19.05.2026"";""10:00"";""13:00"";""180"";"""";""aeyecol"";"""";"""";""137"," Seminarraum (2907.01.137)"";"""";"""";""kein Ereignistyp"";""geplant"";""Mingcong Ding"";"""";"""""
"MI;""20.05.2026"";""14:00"";""18:00"";""240"";"""";""aeyecol"";"""";"""";""140"," Seminarraum (2907.01.140)"";"""";"""";""kein Ereignistyp"";""geplant"";""Mingcong Ding"";"""";"""""
"DO;""21.05.2026"";""09:30"";""12:30"";""180"";"""";""aeyecol"";"""";"""";""140"," Seminarraum (2907.01.140)"";"""";"""";""kein Ereignistyp"";""geplant"";""Mingcong Ding"";"""";"""""
"FR;""22.05.2026"";""09:30"";""12:00"";""150"";"""";""Team-meeting HCTL"";"""";"""";""269"," Büro (2907.02.269)"";"""";"""";""kein Ereignistyp"";""fix"";""Enkelejda Kasneci"";"""";"""""
"FR;""22.05.2026"";""10:00"";""18:00"";""480"";"""";""aeyecol"";"""";"""";""137"," Seminarraum (2907.01.137)"";"""";"""";""kein Ereignistyp"";""geplant"";""Mingcong Ding"";"""";"""""
"MI;""27.05.2026"";""12:00"";""18:00"";""360"";"""";""aeyecol"";"""";"""";""120"," Seminarraum (2907.01.120)"";"""";"""";""kein Ereignistyp"";""geplant"";""Mingcong Ding"";"""";"""""
